ville, price, room_nb, bedroom_nb, surface, quartier
Paris 14 (75014),147 000 €,2,1 ch.,13,Paris
,147 150 €,1,,13,
Paris 18 (75018),450 000 €,3,2 ch.,51,Paris
Paris 07 (75007),148 000 €,1,,11,Paris 7ème
Paris 18 (75018),148 000 €,1,,15,Marx Dormoy
Paris 10 (75010),148 302 €,1,1 ch.,12,
Paris 16 (75016),149 000 €,1,,11,Paris
Paris 16 (75116),149 800 €,1,,10,Paris
Paris 14 (75014),150 000 €,1,,11,Pernety
Paris 06 (75006),150 000 €,1,,7,Paris
Paris 06 (75006),150 000 €,1,,11,Paris 6ème
Paris 08 (75008),152 000 €,1,,19,Paris 8ème
,154 000 €,1,,14,
Paris 17 (75017),155 000 €,1,,15,Paris 17eme Arrondissement
Paris 19 (75019),156 395 €,1,,18,
Paris 15 (75015),159 000 €,1,,14,Paris 15
Paris 17 (75017),159 000 €,1,,12,Paris
Paris 10 (75010),160 000 €,1,,12,Paris 10ème
Paris 17 (75017),160 000 €,1,,15,"école, Commerces, Métro"
,160 000 €,1,1 ch.,12,
Paris 02 (75002),160 000 €,1,,10,Paris 2ème
Paris 14 (75014),160 000 €,1,,12,Parc Montsouris
Paris 12 (75012),160 000 €,1,1 ch.,14,Paris 12
Paris 18 (75018),450 000 €,3,2 ch.,51,Paris
Paris 16 (75116),162 000 €,1,1 ch.,10,Paris
Paris 12 (75012),162 000 €,1,,12,Paris 12eme
Paris 16 (75116),162 000 €,1,,10,Paris
Paris 15 (75015),163 000 €,1,,14,Paris 15ème
Paris 18 (75018),165 000 €,1,,12,Place Clichy
Paris 17 (75017),165 000 €,3,1 ch.,16,Paris
Paris 02 (75002),167 000 €,2,1 ch.,,Sentier
Paris 09 (75009),168 000 €,1,,11,Paris 9ème
Paris 11 (75011),168 000 €,1,,13,Paris
Paris 07 (75007),169 000 €,1,,12,Paris 7ème
Paris 17 (75017),169 500 €,1,,12,Paris
Paris 19 (75019),170 000 €,1,,15,Paris 19ème
